titulo,apresentacao,condicao_clinica,confianca_extracao,contexto,cuidados,diluicao,dose,duracao,especialidade,fonte_arquivo,fonte_pagina,fonte_secao,frequencia,medicamento,modo_de_uso,observacoes,orientacoes,sinais_de_alerta,slug,status_revisao,subcondicao,tags,texto_original,tipo_de_conduta,via
Diverticulite Aguda Não Complicada — Metronidazol 500mg,,Diverticulite Aguda Não Complicada,Média,Alta,,,,por 07 dias,Cirurgia Geral,PDF Guia Prático de Prescrições,36,Cirurgia Geral > Diverticulite Aguda Não Complicada,,Metronidazol 500mg,"Metronidazol 500mg
Tomar 01 cp de 8 em 8 horas por 07 dias.
Sintomáticos",Item numerado 2. Cabeçalho próximo: Opções de antibiótico:,,,pdf-cirurgia-geral-diverticulite-aguda-nao-complicada-metronidazol-500mg-metronidazol-500mg-tomar-01-cp-de-8-em-8-horas-por-07-dias-sintomaticos,Revisão pendente,,,"Metronidazol 500mg
Tomar 01 cp de 8 em 8 horas por 07 dias.
Sintomáticos",Prescrição,
Diverticulite Aguda Não Complicada — Dipirona 1g,,Diverticulite Aguda Não Complicada,Média,Alta,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,36,Cirurgia Geral > Diverticulite Aguda Não Complicada,,Dipirona 1g,"Dipirona 1g
Tomar 01 cp de 6 em 6 horas se dor ou febre.",Item numerado 1. Cabeçalho próximo: Opções de antibiótico:,,,pdf-cirurgia-geral-diverticulite-aguda-nao-complicada-dipirona-1g-dipirona-1g-tomar-01-cp-de-6-em-6-horas-se-dor-ou-febre,Revisão pendente,,analgésico,"Dipirona 1g
Tomar 01 cp de 6 em 6 horas se dor ou febre.",Prescrição,
Diverticulite Aguda Não Complicada — Buscopan composto 10+250mg,,Diverticulite Aguda Não Complicada,Alta,Alta,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,36,Cirurgia Geral > Diverticulite Aguda Não Complicada,,Buscopan composto 10+250mg,"Buscopan composto 10+250mg
Tomar 01 cp de 8 em 8 horas se dor abdominal.",Item numerado 2. Cabeçalho próximo: Opções de antibiótico:,,,pdf-cirurgia-geral-diverticulite-aguda-nao-complicada-buscopan-composto-10-250mg-buscopan-composto-10-250mg-tomar-01-cp-de-8-em-8-horas-se-dor-abdominal,Revisão pendente,,,"Buscopan composto 10+250mg
Tomar 01 cp de 8 em 8 horas se dor abdominal.",Prescrição,Inalatória
Diverticulite Aguda Não Complicada — Tramadol 50mg,,Diverticulite Aguda Não Complicada,Média,Alta,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,36,Cirurgia Geral > Diverticulite Aguda Não Complicada,,Tramadol 50mg,"Tramadol 50mg
Tomar 01 cp de 8 em 8 horas se dor intensa.",Item numerado 3. Cabeçalho próximo: Opções de antibiótico:,,,pdf-cirurgia-geral-diverticulite-aguda-nao-complicada-tramadol-50mg-tramadol-50mg-tomar-01-cp-de-8-em-8-horas-se-dor-intensa,Revisão pendente,,analgésico,"Tramadol 50mg
Tomar 01 cp de 8 em 8 horas se dor intensa.",Prescrição,
Abscesso Anorretal — Jejum,,Abscesso Anorretal,Baixa,PS,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,38,Cirurgia Geral > Doenças Orificiais > Abscesso Anorretal,,Jejum,Jejum,Item numerado 1. Cabeçalho próximo: Prescrição,,,pdf-cirurgia-geral-doencas-orificiais-abscesso-anorretal-jejum-jejum,Revisão pendente,Doenças Orificiais,emergência,Jejum,Conduta,
Abscesso Anorretal — Ciprofloxacino 500mg EV 12/12h,,Abscesso Anorretal,Alta,PS,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,38,Cirurgia Geral > Doenças Orificiais > Abscesso Anorretal,12/12h,Ciprofloxacino 500mg EV 12/12h,Ciprofloxacino 500mg EV 12/12h,Item numerado 2. Cabeçalho próximo: Prescrição,,,pdf-cirurgia-geral-doencas-orificiais-abscesso-anorretal-ciprofloxacino-500mg-ev-12-12h-ciprofloxacino-500mg-ev-12-12h,Revisão pendente,Doenças Orificiais,"antibiótico, emergência",Ciprofloxacino 500mg EV 12/12h,Prescrição,EV
Abscesso Anorretal — Metronidazol 500mg EV 8/8h,,Abscesso Anorretal,Alta,PS,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,38,Cirurgia Geral > Doenças Orificiais > Abscesso Anorretal,8/8h,Metronidazol 500mg EV 8/8h,Metronidazol 500mg EV 8/8h,Item numerado 3. Cabeçalho próximo: Prescrição,,,pdf-cirurgia-geral-doencas-orificiais-abscesso-anorretal-metronidazol-500mg-ev-8-8h-metronidazol-500mg-ev-8-8h,Revisão pendente,Doenças Orificiais,emergência,Metronidazol 500mg EV 8/8h,Prescrição,EV
Abscesso Anorretal — Dipirona 1g EV 6/6h se dor ou febre,,Abscesso Anorretal,Alta,PS,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,38,Cirurgia Geral > Doenças Orificiais > Abscesso Anorretal,6/6h,Dipirona 1g EV 6/6h se dor ou febre,Dipirona 1g EV 6/6h se dor ou febre,Item numerado 4. Cabeçalho próximo: Prescrição,,,pdf-cirurgia-geral-doencas-orificiais-abscesso-anorretal-dipirona-1g-ev-6-6h-se-dor-ou-febre-dipirona-1g-ev-6-6h-se-dor-ou-febre,Revisão pendente,Doenças Orificiais,"analgésico, emergência",Dipirona 1g EV 6/6h se dor ou febre,Prescrição,EV
Abscesso Anorretal — Tramadol 100mg EV 8/8h se dor intensa,,Abscesso Anorretal,Alta,PS,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,38,Cirurgia Geral > Doenças Orificiais > Abscesso Anorretal,8/8h,Tramadol 100mg EV 8/8h se dor intensa,Tramadol 100mg EV 8/8h se dor intensa,Item numerado 5. Cabeçalho próximo: Prescrição,,,pdf-cirurgia-geral-doencas-orificiais-abscesso-anorretal-tramadol-100mg-ev-8-8h-se-dor-intensa-tramadol-100mg-ev-8-8h-se-dor-intensa,Revisão pendente,Doenças Orificiais,"analgésico, emergência",Tramadol 100mg EV 8/8h se dor intensa,Prescrição,EV
Abscesso Anorretal — Ondansetrona 8mg EV 8/8h se náuseas/vômitos,,Abscesso Anorretal,Alta,PS,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,38,Cirurgia Geral > Doenças Orificiais > Abscesso Anorretal,8/8h,Ondansetrona 8mg EV 8/8h se náuseas/vômitos,Ondansetrona 8mg EV 8/8h se náuseas/vômitos,Item numerado 6. Cabeçalho próximo: Prescrição,,,pdf-cirurgia-geral-doencas-orificiais-abscesso-anorretal-ondansetrona-8mg-ev-8-8h-se-nauseas-vomitos-ondansetrona-8mg-ev-8-8h-se-nauseas-vomitos,Revisão pendente,Doenças Orificiais,emergência,Ondansetrona 8mg EV 8/8h se náuseas/vômitos,Prescrição,EV
Abscesso Anorretal — Avaliação da cirurgia geral para drenagem,,Abscesso Anorretal,Baixa,PS,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,38,Cirurgia Geral > Doenças Orificiais > Abscesso Anorretal,,Avaliação da cirurgia geral para drenagem,Avaliação da cirurgia geral para drenagem,Item numerado 1. Cabeçalho próximo: Prescrição,,,pdf-cirurgia-geral-doencas-orificiais-abscesso-anorretal-avaliacao-da-cirurgia-geral-para-drenagem-avaliacao-da-cirurgia-geral-para-drenagem,Revisão pendente,Doenças Orificiais,emergência,Avaliação da cirurgia geral para drenagem,Conduta,
Abscesso Anorretal — Antibioticoterapia EV quando indicado,,Abscesso Anorretal,Média,PS,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,38,Cirurgia Geral > Doenças Orificiais > Abscesso Anorretal,,Antibioticoterapia EV quando indicado,"Antibioticoterapia EV quando indicado:
º sepse
º celulite
º diabéticos
º imunodeprimidos
º portadores de próteses cardíacas",Item numerado 2. Cabeçalho próximo: Prescrição,,,pdf-cirurgia-geral-doencas-orificiais-abscesso-anorretal-antibioticoterapia-ev-quando-indicado-antibioticoterapia-ev-quando-indicado-o-sepse-o-celulite-o-diabeticos-o-imunode,Revisão pendente,Doenças Orificiais,emergência,"Antibioticoterapia EV quando indicado:
º sepse
º celulite
º diabéticos
º imunodeprimidos
º portadores de próteses cardíacas",Prescrição,EV
Abscesso Anorretal — Controle de sintomas,,Abscesso Anorretal,Baixa,PS,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,38,Cirurgia Geral > Doenças Orificiais > Abscesso Anorretal,,Controle de sintomas,Controle de sintomas,Item numerado 3. Cabeçalho próximo: Prescrição,,,pdf-cirurgia-geral-doencas-orificiais-abscesso-anorretal-controle-de-sintomas-controle-de-sintomas,Revisão pendente,Doenças Orificiais,emergência,Controle de sintomas,Conduta,
Fissura Anal — Proctyl,,Fissura Anal,Alta,Alta,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,39,Cirurgia Geral > Doenças Orificiais > Fissura Anal,3x ao dia,Proctyl,"Proctyl - pomada
Aplicar na região afetada, 3x ao dia, até
consulta com Proctologista
Relaxantes de esfíncter",Item numerado 1. Cabeçalho próximo: Cicatrizante,,,pdf-cirurgia-geral-doencas-orificiais-fissura-anal-proctyl-proctyl-pomada-aplicar-na-regiao-afetada-3x-ao-dia-ate-consulta-com-proctolo,Revisão pendente,Doenças Orificiais,,"Proctyl - pomada
Aplicar na região afetada, 3x ao dia, até
consulta com Proctologista
Relaxantes de esfíncter",Prescrição,Tópica
Fissura Anal — Diltiazem 2 %,,Fissura Anal,Baixa,Alta,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,39,Cirurgia Geral > Doenças Orificiais > Fissura Anal,2x ao dia,Diltiazem 2 %,"Diltiazem 2 % - gel
Aplicar na região afetada, 2x ao dia, até
consulta com Proctologista",Item numerado 2. Cabeçalho próximo: Cicatrizante,,,pdf-cirurgia-geral-doencas-orificiais-fissura-anal-diltiazem-2-diltiazem-2-gel-aplicar-na-regiao-afetada-2x-ao-dia-ate-consulta-com-proct,Revisão pendente,Doenças Orificiais,,"Diltiazem 2 % - gel
Aplicar na região afetada, 2x ao dia, até
consulta com Proctologista",Conduta,
Fissura Anal — Dipirona 1 g,,Fissura Anal,Média,Alta,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,40,Cirurgia Geral > Doenças Orificiais > Fissura Anal,,Dipirona 1 g,"Dipirona 1 g - cp
Tomar 01 cp de 6 em 6 horas se dor",Item numerado 3. Cabeçalho próximo: Sintomáticos,,,pdf-cirurgia-geral-doencas-orificiais-fissura-anal-dipirona-1-g-dipirona-1-g-cp-tomar-01-cp-de-6-em-6-horas-se-dor,Revisão pendente,Doenças Orificiais,analgésico,"Dipirona 1 g - cp
Tomar 01 cp de 6 em 6 horas se dor",Prescrição,
Fissura Anal — Ibuprofeno 600mg,,Fissura Anal,Média,Alta,,,,"por até 05
dias",Cirurgia Geral,PDF Guia Prático de Prescrições,40,Cirurgia Geral > Doenças Orificiais > Fissura Anal,,Ibuprofeno 600mg,"Ibuprofeno 600mg - cp
Tomar 01 cp de 8 em 8 horas se dor por até 05
dias.
Se constipação",Item numerado 4. Cabeçalho próximo: Sintomáticos,,,pdf-cirurgia-geral-doencas-orificiais-fissura-anal-ibuprofeno-600mg-ibuprofeno-600mg-cp-tomar-01-cp-de-8-em-8-horas-se-dor-por-ate-05-dias-se-con,Revisão pendente,Doenças Orificiais,analgésico,"Ibuprofeno 600mg - cp
Tomar 01 cp de 8 em 8 horas se dor por até 05
dias.
Se constipação",Prescrição,
Fissura Anal — Metamucil (P. ovata),,Fissura Anal,Alta,Alta,,Diluir 01 sachê em 300 ml de água,,por 05 dias,Cirurgia Geral,PDF Guia Prático de Prescrições,40,Cirurgia Geral > Doenças Orificiais > Fissura Anal,2x ao dia,Metamucil (P. ovata),"Metamucil (P. ovata) - sachês
Diluir 01 sachê em 300 ml de água
Tomar 2x ao dia, por 05 dias
Orientações
Banho de assento em água morna 2–3×/dia
(10–15 min)
Ingerir ≥ 2 L de água ao longo do dia
Higiene: jato de água ou lenços umedecidos
sem álcool",Item numerado 5. Cabeçalho próximo: Sintomáticos,,,pdf-cirurgia-geral-doencas-orificiais-fissura-anal-metamucil-p-ovata-metamucil-p-ovata-saches-diluir-01-sache-em-300-ml-de-agua-tomar-2x-ao-dia,Revisão pendente,Doenças Orificiais,,"Metamucil (P. ovata) - sachês
Diluir 01 sachê em 300 ml de água
Tomar 2x ao dia, por 05 dias
Orientações
Banho de assento em água morna 2–3×/dia
(10–15 min)
Ingerir ≥ 2 L de água ao longo do dia
Higiene: jato de água ou lenços umedecidos
sem álcool",Prescrição,Inalatória
Crise Hemorroidária Aguda — Dipirona 1g,,Crise Hemorroidária Aguda,Alta,PS / Alta,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,41,Cirurgia Geral > Doenças Orificiais > Crise Hemorroidária Aguda,,Dipirona 1g,Dipirona 1g - EV,Item numerado 1. Cabeçalho próximo: Analgesia,,,pdf-cirurgia-geral-doencas-orificiais-crise-hemorroidaria-aguda-dipirona-1g-dipirona-1g-ev,Revisão pendente,Doenças Orificiais,"analgésico, emergência",Dipirona 1g - EV,Prescrição,EV
Crise Hemorroidária Aguda — Diclofenaco 75 mg,,Crise Hemorroidária Aguda,Alta,PS / Alta,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,41,Cirurgia Geral > Doenças Orificiais > Crise Hemorroidária Aguda,,Diclofenaco 75 mg,"Diclofenaco 75 mg - IM
Receita de Alta
USO ORAL
Venotônico",Item numerado 2. Cabeçalho próximo: Analgesia,,,pdf-cirurgia-geral-doencas-orificiais-crise-hemorroidaria-aguda-diclofenaco-75-mg-diclofenaco-75-mg-im-receita-de-alta-uso-oral-venotonico,Revisão pendente,Doenças Orificiais,emergência,"Diclofenaco 75 mg - IM
Receita de Alta
USO ORAL
Venotônico",Prescrição,IM
Crise Hemorroidária Aguda — Daflon 500 (450 mg + 50 mg),,Crise Hemorroidária Aguda,Média,PS / Alta,,,,por 4 dias,Cirurgia Geral,PDF Guia Prático de Prescrições,41,Cirurgia Geral > Doenças Orificiais > Crise Hemorroidária Aguda,,Daflon 500 (450 mg + 50 mg),"Daflon 500 (450 mg + 50 mg) - cp
Tomar 2 comprimidos, 3x/dia, por 4 dias
Depois 2 comprimidos, 2x/dia, por mais 3 dias.
Sintomáticos",Item numerado 1. Cabeçalho próximo: Analgesia,,,pdf-cirurgia-geral-doencas-orificiais-crise-hemorroidaria-aguda-daflon-500-450-mg-50-mg-daflon-500-450-mg-50-mg-cp-tomar-2-comprimidos-3x-dia-por-4-dias-depois,Revisão pendente,Doenças Orificiais,emergência,"Daflon 500 (450 mg + 50 mg) - cp
Tomar 2 comprimidos, 3x/dia, por 4 dias
Depois 2 comprimidos, 2x/dia, por mais 3 dias.
Sintomáticos",Prescrição,
Crise Hemorroidária Aguda — Dipirona 1 g,,Crise Hemorroidária Aguda,Média,PS / Alta,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,41,Cirurgia Geral > Doenças Orificiais > Crise Hemorroidária Aguda,,Dipirona 1 g,"Dipirona 1 g - cp
Tomar 01 cp de 6 em 6 horas se dor",Item numerado 2. Cabeçalho próximo: Analgesia,,,pdf-cirurgia-geral-doencas-orificiais-crise-hemorroidaria-aguda-dipirona-1-g-dipirona-1-g-cp-tomar-01-cp-de-6-em-6-horas-se-dor,Revisão pendente,Doenças Orificiais,"analgésico, emergência","Dipirona 1 g - cp
Tomar 01 cp de 6 em 6 horas se dor",Prescrição,
Crise Hemorroidária Aguda — Ibuprofeno 600 mg,,Crise Hemorroidária Aguda,Média,PS / Alta,,,,"por até 05
dias",Cirurgia Geral,PDF Guia Prático de Prescrições,41,Cirurgia Geral > Doenças Orificiais > Crise Hemorroidária Aguda,,Ibuprofeno 600 mg,"Ibuprofeno 600 mg - cp
Tomar 01 cp de 8 em 8 horas se dor por até 05
dias.",Item numerado 3. Cabeçalho próximo: Analgesia,,,pdf-cirurgia-geral-doencas-orificiais-crise-hemorroidaria-aguda-ibuprofeno-600-mg-ibuprofeno-600-mg-cp-tomar-01-cp-de-8-em-8-horas-se-dor-por-ate-05-dias,Revisão pendente,Doenças Orificiais,"analgésico, emergência","Ibuprofeno 600 mg - cp
Tomar 01 cp de 8 em 8 horas se dor por até 05
dias.",Prescrição,
Crise Hemorroidária Aguda — Metamucil (P. ovata),,Crise Hemorroidária Aguda,Alta,Alta,,Diluir 01 sachê em 300 ml de água,,por 05 dias,Cirurgia Geral,PDF Guia Prático de Prescrições,42,Cirurgia Geral > Doenças Orificiais > Crise Hemorroidária Aguda,2x ao dia,Metamucil (P. ovata),"Metamucil (P. ovata) - sachês
Diluir 01 sachê em 300 ml de água
Tomar 2x ao dia, por 05 dias
USO TÓPICO",Item numerado 4. Cabeçalho próximo: Se constipação,,,pdf-cirurgia-geral-doencas-orificiais-crise-hemorroidaria-aguda-metamucil-p-ovata-metamucil-p-ovata-saches-diluir-01-sache-em-300-ml-de-agua-tomar-2x-ao-dia,Revisão pendente,Doenças Orificiais,,"Metamucil (P. ovata) - sachês
Diluir 01 sachê em 300 ml de água
Tomar 2x ao dia, por 05 dias
USO TÓPICO",Prescrição,Tópica
Crise Hemorroidária Aguda — Proctyl,,Crise Hemorroidária Aguda,Alta,Alta,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,42,Cirurgia Geral > Doenças Orificiais > Crise Hemorroidária Aguda,3x ao dia,Proctyl,"Proctyl - pomada
Aplicar na região afetada, 3x ao dia, até
melhora
Orientações
Banho de assento, 3x ao dia, em água morna
Ingerir 2L de água por dia
Evitar papel higiênico
Agendar retorno com Proctologista",Item numerado 5. Cabeçalho próximo: Se constipação,,,pdf-cirurgia-geral-doencas-orificiais-crise-hemorroidaria-aguda-proctyl-proctyl-pomada-aplicar-na-regiao-afetada-3x-ao-dia-ate-melhora-orientacoes-b,Revisão pendente,Doenças Orificiais,,"Proctyl - pomada
Aplicar na região afetada, 3x ao dia, até
melhora
Orientações
Banho de assento, 3x ao dia, em água morna
Ingerir 2L de água por dia
Evitar papel higiênico
Agendar retorno com Proctologista",Prescrição,Tópica
Mordeduras — Manejo da ferida,,Mordeduras,Baixa,PS,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,44,Cirurgia Geral > Mordeduras,,Manejo da ferida,"Manejo da ferida:
Lavar com SF 0.9%
Remover sujidades e corpos estranhos
Desinfecção com clorexidina","Item numerado 1. Cabeçalho próximo: ",,,pdf-cirurgia-geral-mordeduras-manejo-da-ferida-manejo-da-ferida-lavar-com-sf-0-9-remover-sujidades-e-corpos-estranhos-desinfe,Revisão pendente,,emergência,"Manejo da ferida:
Lavar com SF 0.9%
Remover sujidades e corpos estranhos
Desinfecção com clorexidina",Conduta,
Mordeduras — Classificar o acidente em,,Mordeduras,Baixa,PS,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,44,Cirurgia Geral > Mordeduras,,Classificar o acidente em,"Classificar o acidente em:
Leve
Grave
Contato indireto","Item numerado 2. Cabeçalho próximo: ",,,pdf-cirurgia-geral-mordeduras-classificar-o-acidente-em-classificar-o-acidente-em-leve-grave-contato-indireto,Revisão pendente,,emergência,"Classificar o acidente em:
Leve
Grave
Contato indireto",Conduta,
Mordeduras — Avaliar necessidade de,,Mordeduras,Baixa,PS,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,44,Cirurgia Geral > Mordeduras,,Avaliar necessidade de,"Avaliar necessidade de:
Sutura
Profilaxia de raiva
Profilaxia de tétano
Antibiótico
Conduta no PS","Item numerado 3. Cabeçalho próximo: ",,,pdf-cirurgia-geral-mordeduras-avaliar-necessidade-de-avaliar-necessidade-de-sutura-profilaxia-de-raiva-profilaxia-de-tetano-antibiot,Revisão pendente,,emergência,"Avaliar necessidade de:
Sutura
Profilaxia de raiva
Profilaxia de tétano
Antibiótico
Conduta no PS",Conduta,
Mordeduras — UI,,Mordeduras,Baixa,Não especificado,,Soro antitetânico,,,Cirurgia Geral,PDF Guia Prático de Prescrições,48,Cirurgia Geral > Mordeduras,,UI,"UI
Intramuscular
Aplicar em grupo
muscular
diferente daquele
no qual foi
aplicada a vacina
que contém o
toxoide tetânico.
Soro antitetânico
(SAT)",Item numerado 250. Cabeçalho próximo: (IGHAT),,,pdf-cirurgia-geral-mordeduras-ui-ui-intramuscular-aplicar-em-grupo-muscular-diferente-daquele-no-qual-foi-aplicad,Revisão pendente,,,"UI
Intramuscular
Aplicar em grupo
muscular
diferente daquele
no qual foi
aplicada a vacina
que contém o
toxoide tetânico.
Soro antitetânico
(SAT)",Conduta,
Mordeduras — UI,,Mordeduras,Média,Não especificado,,diferentes.Diluir | em soro fisiológico,,,Cirurgia Geral,PDF Guia Prático de Prescrições,48,Cirurgia Geral > Mordeduras,,UI,"000 UI
Intramuscular
ou endovenosa
Se intramuscular,
administrar em
duas massas
musculares
diferentes.Diluir
em soro fisiológico
ou glicosado a 5%.
Avaliar necessidade profilaxia de tétano",Item numerado 5. Cabeçalho próximo: (IGHAT),,,pdf-cirurgia-geral-mordeduras-ui-000-ui-intramuscular-ou-endovenosa-se-intramuscular-administrar-em-duas-massas,Revisão pendente,,,"000 UI
Intramuscular
ou endovenosa
Se intramuscular,
administrar em
duas massas
musculares
diferentes.Diluir
em soro fisiológico
ou glicosado a 5%.
Avaliar necessidade profilaxia de tétano",Prescrição,
Mordeduras — doses de,,Mordeduras,Média,Não especificado,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,50,Cirurgia Geral > Mordeduras,,doses de,"doses de
vacina
+",Item numerado 4. Cabeçalho próximo: observável,,,pdf-cirurgia-geral-mordeduras-doses-de-doses-de-vacina,Revisão pendente,,,"doses de
vacina
+",Prescrição,
"Mordeduras — dias, sem",,Mordeduras,Baixa,Não especificado,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,50,Cirurgia Geral > Mordeduras,,"dias, sem","dias, sem
suspeita de
raiva
GRAVE",Item numerado 10. Cabeçalho próximo: observável,,,pdf-cirurgia-geral-mordeduras-dias-sem-dias-sem-suspeita-de-raiva-grave,Revisão pendente,,,"dias, sem
suspeita de
raiva
GRAVE",Conduta,
Mordeduras — soro,,Mordeduras,Média,Não especificado,,soro,,,Cirurgia Geral,PDF Guia Prático de Prescrições,50,Cirurgia Geral > Mordeduras,,soro,"soro
vivo/
saudavel
Cão e gato
morto
desaparece
doente
encerra o
caso
LEVE:",Item numerado 1. Cabeçalho próximo: observável,,,pdf-cirurgia-geral-mordeduras-soro-soro-vivo-saudavel-cao-e-gato-morto-desaparece-doente-encerra-o-caso-leve,Revisão pendente,,,"soro
vivo/
saudavel
Cão e gato
morto
desaparece
doente
encerra o
caso
LEVE:",Prescrição,
Mordeduras — doses de,,Mordeduras,Média,Não especificado,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,50,Cirurgia Geral > Mordeduras,,doses de,"doses de
vacina
Cão e gato
Agir de
imediato
LEVE:",Item numerado 4. Cabeçalho próximo: observável,,,pdf-cirurgia-geral-mordeduras-doses-de-doses-de-vacina-cao-e-gato-agir-de-imediato-leve,Revisão pendente,,,"doses de
vacina
Cão e gato
Agir de
imediato
LEVE:",Prescrição,
Mordeduras — doses de,,Mordeduras,Média,Não especificado,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,50,Cirurgia Geral > Mordeduras,,doses de,"doses de
vacina
GRAVE",Item numerado 4. Cabeçalho próximo: observável,,,pdf-cirurgia-geral-mordeduras-doses-de-doses-de-vacina-grave,Revisão pendente,,,"doses de
vacina
GRAVE",Prescrição,
Mordeduras — soro,,Mordeduras,Baixa,Não especificado,,soro,,,Cirurgia Geral,PDF Guia Prático de Prescrições,50,Cirurgia Geral > Mordeduras,,soro,"soro
não
observável ou
suspeita de
raiva
OBS: CONTATO INDIRETO NÃO HÁ
NECESSIDE DE PROFILAXIAS",Item numerado 1. Cabeçalho próximo: observável,,,pdf-cirurgia-geral-mordeduras-soro-soro-nao-observavel-ou-suspeita-de-raiva-obs-contato-indireto-nao-ha-necesside,Revisão pendente,,,"soro
não
observável ou
suspeita de
raiva
OBS: CONTATO INDIRETO NÃO HÁ
NECESSIDE DE PROFILAXIAS",Conduta,
Mordeduras — soro,,Mordeduras,Baixa,Não especificado,,soro,,,Cirurgia Geral,PDF Guia Prático de Prescrições,51,Cirurgia Geral > Mordeduras,,soro,"soro
Bovídeos, equídeos,
caprinos, suínos e
ovino
OBS: CONTATO INDIRETO NÃO HÁ
NECESSIDE DE PROFILAXIAS
Agir de
imediato
GRAVE",Item numerado 1. Cabeçalho próximo: LEVE:,,,pdf-cirurgia-geral-mordeduras-soro-soro-bovideos-equideos-caprinos-suinos-e-ovino-obs-contato-indireto-nao-ha-n,Revisão pendente,,,"soro
Bovídeos, equídeos,
caprinos, suínos e
ovino
OBS: CONTATO INDIRETO NÃO HÁ
NECESSIDE DE PROFILAXIAS
Agir de
imediato
GRAVE",Conduta,
Mordeduras — soro,,Mordeduras,Baixa,Não especificado,,soro,,,Cirurgia Geral,PDF Guia Prático de Prescrições,51,Cirurgia Geral > Mordeduras,,soro,"soro
Morcegos e
mamíferos silvestres
OBS: AGIR DE IMEDIATO MESMO NO
CONTATO INDIRETO",Item numerado 1. Cabeçalho próximo: LEVE:,,,pdf-cirurgia-geral-mordeduras-soro-soro-morcegos-e-mamiferos-silvestres-obs-agir-de-imediato-mesmo-no-contato-indi,Revisão pendente,,,"soro
Morcegos e
mamíferos silvestres
OBS: AGIR DE IMEDIATO MESMO NO
CONTATO INDIRETO",Conduta,
Mordeduras — UI/kg de peso.,,Mordeduras,Média,Não especificado,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,52,Cirurgia Geral > Mordeduras,,UI/kg de peso.,UI/kg de peso.,Item numerado 20. Cabeçalho próximo: Imunoglobulina humana antirrábica (IGHAR):,,,pdf-cirurgia-geral-mordeduras-ui-kg-de-peso-ui-kg-de-peso,Revisão pendente,,,UI/kg de peso.,Prescrição,
Pancreatite Aguda — Jejum,,Pancreatite Aguda,Baixa,PS,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,53,Cirurgia Geral > Pancreatite Aguda,,Jejum,Jejum,Item numerado 1. Cabeçalho próximo: Prescrição,,,pdf-cirurgia-geral-pancreatite-aguda-jejum-jejum,Revisão pendente,,emergência,Jejum,Conduta,
Pancreatite Aguda — Ringer Lactato 20-30 ml/kg,,Pancreatite Aguda,Alta,PS,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,53,Cirurgia Geral > Pancreatite Aguda,,Ringer Lactato 20-30 ml/kg,"Ringer Lactato 20-30 ml/kg - EV em 30 min se
hipotensão",Item numerado 2. Cabeçalho próximo: Prescrição,,,pdf-cirurgia-geral-pancreatite-aguda-ringer-lactato-20-30-ml-kg-ringer-lactato-20-30-ml-kg-ev-em-30-min-se-hipotensao,Revisão pendente,,emergência,"Ringer Lactato 20-30 ml/kg - EV em 30 min se
hipotensão",Prescrição,EV
"Pancreatite Aguda — Ringer Lactato 1,5",,Pancreatite Aguda,Média,PS,,,,,Cirurgia Geral,PDF Guia Prático de Prescrições,53,Cirurgia Geral > Pancreatite Aguda,,"Ringer Lactato 1,5","Ringer Lactato 1,5 - 3 ml/kg/h por 8-12 horas",Item numerado 3. Cabeçalho próximo: Prescrição,,,pdf-cirurgia-geral-pancreatite-aguda-ringer-lactato-1-5-ringer-lactato-1-5-3-ml-kg-h-por-8-12-horas,Revisão pendente,,emergência,"Ringer Lactato 1,5 - 3 ml/kg/h por 8-12 horas",Prescrição,
