titulo,especialidade,condicao_clinica,subcondicao,contexto,tipo_de_conduta,medicamento,apresentacao,dose,via,frequencia,duracao,diluicao,modo_de_uso,orientacoes,sinais_de_alerta,cuidados,observacoes,tags,fonte_arquivo,fonte_pagina,fonte_secao,texto_original,confianca_extracao,status_revisao,slug
Hipercalemia — Furosemida 20mg/2ml,Nefrologia,Hipercalemia,Distúrbios do Potássio,PS,Prescrição,Furosemida 20mg/2ml,20mg/2ml,20mg,EV,,,,"Furosemida 20mg/2ml
Fazer 40mg - EV
Obs: não usar em monoterapia
Resina de troca","Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Item numerado 1. Cabeçalho próximo: Diurético | Revisão automática: item exige validação clínica/protocolo local antes de uso.,emergência,PDF Guia Prático de Prescrições,133,Nefrologia > Distúrbios do Potássio > Hipercalemia,"Furosemida 20mg/2ml
Fazer 40mg - EV
Obs: não usar em monoterapia
Resina de troca",Média,Não usar sem validação,pdf-nefrologia-disturbios-do-potassio-hipercalemia-furosemida-20mg-2ml-furosemida-20mg-2ml-fazer-40mg-ev-obs-nao-usar-em-monoterapia-resina-de-troca
Hipercalemia — Poliestirenossulfonato de sódio (Sorcal),Nefrologia,Hipercalemia,Distúrbios do Potássio,PS,Prescrição,Poliestirenossulfonato de sódio (Sorcal),30g,30g,VO,,,Diluir 30g de Sorcal em 100ml de Manitol - VO,"Poliestirenossulfonato de sódio (Sorcal)
Diluir 30g de Sorcal em 100ml de Manitol - VO
Não indicado na fase aguda. Evitar se obstrução
intestinal
OU","Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Item numerado 2. Cabeçalho próximo: Diurético | Revisão automática: item exige validação clínica/protocolo local antes de uso.,emergência,PDF Guia Prático de Prescrições,133,Nefrologia > Distúrbios do Potássio > Hipercalemia,"Poliestirenossulfonato de sódio (Sorcal)
Diluir 30g de Sorcal em 100ml de Manitol - VO
Não indicado na fase aguda. Evitar se obstrução
intestinal
OU",Média,Não usar sem validação,pdf-nefrologia-disturbios-do-potassio-hipercalemia-poliestirenossulfonato-de-sodio-sorcal-poliestirenossulfonato-de-sodio-sorcal-diluir-30g-de-sorcal-em-100ml-de-manito
Hipercalemia — Ciclossilicato de Zircônio (Lokelma),Nefrologia,Hipercalemia,Distúrbios do Potássio,PS,Prescrição,Ciclossilicato de Zircônio (Lokelma),10g,10g,VO,,,Diluir 10g em 100ml de água - VO,"Ciclossilicato de Zircônio (Lokelma)
Diluir 10g em 100ml de água - VO
Diálise","Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Item numerado 3. Cabeçalho próximo: Diurético | Revisão automática: item exige validação clínica/protocolo local antes de uso.,emergência,PDF Guia Prático de Prescrições,133,Nefrologia > Distúrbios do Potássio > Hipercalemia,"Ciclossilicato de Zircônio (Lokelma)
Diluir 10g em 100ml de água - VO
Diálise",Média,Não usar sem validação,pdf-nefrologia-disturbios-do-potassio-hipercalemia-ciclossilicato-de-zirconio-lokelma-ciclossilicato-de-zirconio-lokelma-diluir-10g-em-100ml-de-agua-vo-dialise
Hipercalemia — Hemodiálise,Nefrologia,Hipercalemia,Distúrbios do Potássio,PS,Conduta,Hemodiálise,,,,,,,"Hemodiálise
Indicado em disfunção renal grave
Conduta no PS","Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Item numerado 4. Cabeçalho próximo: Diurético | Revisão automática: item exige validação clínica/protocolo local antes de uso.,emergência,PDF Guia Prático de Prescrições,133,Nefrologia > Distúrbios do Potássio > Hipercalemia,"Hemodiálise
Indicado em disfunção renal grave
Conduta no PS",Baixa,Não usar sem validação,pdf-nefrologia-disturbios-do-potassio-hipercalemia-hemodialise-hemodialise-indicado-em-disfuncao-renal-grave-conduta-no-ps
Hipocalemia — Cloreto de potássio 600 mg,Nefrologia,Hipocalemia,Distúrbios do Potássio,Alta,Prescrição,Cloreto de potássio 600 mg,600 mg,"02 cp no café da manhã, 02 cp no",,,por 05 dias,,"Cloreto de potássio 600 mg - cp
Tomar 02 cp no café da manhã, 02 cp no
almoço e 01 cap na janta, junto das refeições,
por 05 dias
OU","Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Item numerado 1. Cabeçalho próximo: USO ORAL | Revisão automática: item exige validação clínica/protocolo local antes de uso.,,PDF Guia Prático de Prescrições,134,Nefrologia > Distúrbios do Potássio > Hipocalemia,"Cloreto de potássio 600 mg - cp
Tomar 02 cp no café da manhã, 02 cp no
almoço e 01 cap na janta, junto das refeições,
por 05 dias
OU",Baixa,Não usar sem validação,pdf-nefrologia-disturbios-do-potassio-hipocalemia-cloreto-de-potassio-600-mg-cloreto-de-potassio-600-mg-cp-tomar-02-cp-no-cafe-da-manha-02-cp-no-almoco-e
Hipocalemia — Cloreto de potássio xarope 6%,Nefrologia,Hipocalemia,Distúrbios do Potássio,Alta,Prescrição,Cloreto de potássio xarope 6%,6%,"15 ml, 3x ao dia, por 05 dias",,3x ao dia,por 05 dias,,"Cloreto de potássio xarope 6%
Tomar 15 ml, 3x ao dia, por 05 dias
Receita de Alta","Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Item numerado 2. Cabeçalho próximo: USO ORAL | Revisão automática: item exige validação clínica/protocolo local antes de uso.,,PDF Guia Prático de Prescrições,134,Nefrologia > Distúrbios do Potássio > Hipocalemia,"Cloreto de potássio xarope 6%
Tomar 15 ml, 3x ao dia, por 05 dias
Receita de Alta",Baixa,Não usar sem validação,pdf-nefrologia-disturbios-do-potassio-hipocalemia-cloreto-de-potassio-xarope-6-cloreto-de-potassio-xarope-6-tomar-15-ml-3x-ao-dia-por-05-dias-receita-de-alt
"Hipocalemia — KCl 19,1% 20ml + 480ml SF 0,9%,",Nefrologia,Hipocalemia,Distúrbios do Potássio,PS,Prescrição,"KCl 19,1% 20ml + 480ml SF 0,9%,","19,1%",20ml,EV,,,"KCl 19,1% 20ml + 480ml SF 0,9%,","KCl 19,1% 20ml + 480ml SF 0,9%,
EV em BIC, em 4h
ACESSO CENTRAL","Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Item numerado 1. Cabeçalho próximo: VEIA PERIFÉRICA | Revisão automática: item exige validação clínica/protocolo local antes de uso.,emergência,PDF Guia Prático de Prescrições,135,Nefrologia > Distúrbios do Potássio > Hipocalemia,"KCl 19,1% 20ml + 480ml SF 0,9%,
EV em BIC, em 4h
ACESSO CENTRAL",Média,Não usar sem validação,pdf-nefrologia-disturbios-do-potassio-hipocalemia-kcl-19-1-20ml-480ml-sf-0-9-kcl-19-1-20ml-480ml-sf-0-9-ev-em-bic-em-4h-acesso-central
"Hipocalemia — KCl 19,1% 40ml + 460ml SF 0,9%,",Nefrologia,Hipocalemia,Distúrbios do Potássio,PS,Prescrição,"KCl 19,1% 40ml + 460ml SF 0,9%,","19,1%",40ml,EV,,,"KCl 19,1% 40ml + 460ml SF 0,9%,","KCl 19,1% 40ml + 460ml SF 0,9%,
EV em BIC, em 4h
Conduta no PS","Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Item numerado 2. Cabeçalho próximo: VEIA PERIFÉRICA | Revisão automática: item exige validação clínica/protocolo local antes de uso.,emergência,PDF Guia Prático de Prescrições,135,Nefrologia > Distúrbios do Potássio > Hipocalemia,"KCl 19,1% 40ml + 460ml SF 0,9%,
EV em BIC, em 4h
Conduta no PS",Média,Não usar sem validação,pdf-nefrologia-disturbios-do-potassio-hipocalemia-kcl-19-1-40ml-460ml-sf-0-9-kcl-19-1-40ml-460ml-sf-0-9-ev-em-bic-em-4h-conduta-no-ps
Hiponatremia — NaCl 3%,Nefrologia,Hiponatremia,Distúrbios do Sódio,PS,Prescrição,NaCl 3%,3%,100 ml,EV,de 2/2h; 2/2h,"até 3x, se necessário",,"NaCl 3%
Ataque:
 Fazer 100 ml - EV em 10 min
 Pode repetir até 3x, se necessário
Manutenção:
 BIC a 15-30 ml/h
 Dosar Na de 2/2h
 Aumentar Na de 6-8 mEq/L em 24h (incluindo
dose de ataque)
Conduta no PS","Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Item numerado 1. Cabeçalho próximo: NaCl 3% | Revisão automática: item exige validação clínica/protocolo local antes de uso.,emergência,PDF Guia Prático de Prescrições,136,Nefrologia > Distúrbios do Sódio > Hiponatremia,"NaCl 3%
Ataque:
 Fazer 100 ml - EV em 10 min
 Pode repetir até 3x, se necessário
Manutenção:
 BIC a 15-30 ml/h
 Dosar Na de 2/2h
 Aumentar Na de 6-8 mEq/L em 24h (incluindo
dose de ataque)
Conduta no PS",Média,Não usar sem validação,pdf-nefrologia-disturbios-do-sodio-hiponatremia-nacl-3-nacl-3-ataque-o-fazer-100-ml-ev-em-10-min-o-pode-repetir-ate-3x-se-necessar
Hiponatremia — NaCl 3%,Nefrologia,Hiponatremia,Distúrbios do Sódio,PS,Prescrição,NaCl 3%,3%,30 ml,,de 2/2h; 2/2h,,,"NaCl 3%
Ataque:
 Não é necessário dose de ataque
Manutenção:
 BIC a 15-30 ml/h
 Dosar Na de 2/2h
 Aumentar Na de 6-8 mEq/L em 24h (incluindo
dose de ataque
SINTOMÁTICA","Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Item numerado 1. Cabeçalho próximo: ASSINTOMÁTICA | Revisão automática: item exige validação clínica/protocolo local antes de uso.,emergência,PDF Guia Prático de Prescrições,137,Nefrologia > Distúrbios do Sódio > Hiponatremia,"NaCl 3%
Ataque:
 Não é necessário dose de ataque
Manutenção:
 BIC a 15-30 ml/h
 Dosar Na de 2/2h
 Aumentar Na de 6-8 mEq/L em 24h (incluindo
dose de ataque
SINTOMÁTICA",Baixa,Não usar sem validação,pdf-nefrologia-disturbios-do-sodio-hiponatremia-nacl-3-nacl-3-ataque-o-nao-e-necessario-dose-de-ataque-manutencao-o-bic-a-15-30-ml-h
"Hiponatremia — %, então temos que preparar a solução",Nefrologia,Hiponatremia,Distúrbios do Sódio,Não especificado,Conduta,"%, então temos que preparar a solução",,,,,,,"%, então temos que preparar a solução:","Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Item numerado 3. Cabeçalho próximo: Muitas vezes os hospitais não possuem NaCl a | Revisão automática: item exige validação clínica/protocolo local antes de uso.,,PDF Guia Prático de Prescrições,138,Nefrologia > Distúrbios do Sódio > Hiponatremia,"%, então temos que preparar a solução:",Baixa,Não usar sem validação,pdf-nefrologia-disturbios-do-sodio-hiponatremia-entao-temos-que-preparar-a-solucao-entao-temos-que-preparar-a-solucao
"Hiponatremia — ml NaCl 20% + 445ml SF 0,9% = 500ml NaCl 3%",Nefrologia,Hiponatremia,Distúrbios do Sódio,Não especificado,Prescrição,"ml NaCl 20% + 445ml SF 0,9% = 500ml NaCl 3%",20%,445ml,,,,"ml NaCl 20% + 445ml SF 0,9% = 500ml NaCl 3%","ml NaCl 20% + 445ml SF 0,9% = 500ml NaCl 3%
Cada 1 ml/kg aumenta natremia em 1 mEq/L
Pacientes com hiponatremia hipervolêmica
(insuficiência cardíaca congestiva, cirrose,
insuficiência renal crônica avançada) não se usa
NaCl a 3% isoladamente, pois isso aumenta a
volemia do paciente, agravando seu quadro
clínico. Assim, se necessário o seu uso – como em
casos sintomáticos - deve-se associar o uso de
diuréticos de alça","Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Item numerado 55. Cabeçalho próximo: Muitas vezes os hospitais não possuem NaCl a | Revisão automática: item exige validação clínica/protocolo local antes de uso.,,PDF Guia Prático de Prescrições,138,Nefrologia > Distúrbios do Sódio > Hiponatremia,"ml NaCl 20% + 445ml SF 0,9% = 500ml NaCl 3%
Cada 1 ml/kg aumenta natremia em 1 mEq/L
Pacientes com hiponatremia hipervolêmica
(insuficiência cardíaca congestiva, cirrose,
insuficiência renal crônica avançada) não se usa
NaCl a 3% isoladamente, pois isso aumenta a
volemia do paciente, agravando seu quadro
clínico. Assim, se necessário o seu uso – como em
casos sintomáticos - deve-se associar o uso de
diuréticos de alça",Baixa,Não usar sem validação,pdf-nefrologia-disturbios-do-sodio-hiponatremia-ml-nacl-20-445ml-sf-0-9-500ml-nacl-3-ml-nacl-20-445ml-sf-0-9-500ml-nacl-3-cada-1-ml-kg-aumenta-natremia-em-1-m
Ataque Isquêmico Transitório — ponto,Neurologia,Ataque Isquêmico Transitório,,Não especificado,Prescrição,ponto,,,,,,,"ponto
B. Pressão Arterial
(Blood Pressure)
PA sistólica ≥ 140 mmHg
ou PA diastólica ≥ 90
mmHg","Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Item numerado 1. Cabeçalho próximo: ≥ 60 anos | Revisão automática: item exige validação clínica/protocolo local antes de uso.,,PDF Guia Prático de Prescrições,140,Neurologia > Ataque Isquêmico Transitório,"ponto
B. Pressão Arterial
(Blood Pressure)
PA sistólica ≥ 140 mmHg
ou PA diastólica ≥ 90
mmHg",Baixa,Não usar sem validação,pdf-neurologia-ataque-isquemico-transitorio-ponto-ponto-b-pressao-arterial-blood-pressure-pa-sistolica-140-mmhg-ou-pa-diastol
Ataque Isquêmico Transitório — ponto,Neurologia,Ataque Isquêmico Transitório,,Não especificado,Conduta,ponto,,,,,,,"ponto
C. Características
Clínicas (Clinical
Features)
Fraqueza unilateral","Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Item numerado 1. Cabeçalho próximo: ≥ 60 anos | Revisão automática: item exige validação clínica/protocolo local antes de uso.,,PDF Guia Prático de Prescrições,140,Neurologia > Ataque Isquêmico Transitório,"ponto
C. Características
Clínicas (Clinical
Features)
Fraqueza unilateral",Baixa,Não usar sem validação,pdf-neurologia-ataque-isquemico-transitorio-ponto-ponto-c-caracteristicas-clinicas-clinical-features-fraqueza-unilateral
Ataque Isquêmico Transitório — pontos,Neurologia,Ataque Isquêmico Transitório,,Não especificado,Conduta,pontos,,,,,,,"pontos
Distúrbio de fala sem
fraqueza","Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Item numerado 2. Cabeçalho próximo: ≥ 60 anos | Revisão automática: item exige validação clínica/protocolo local antes de uso.,,PDF Guia Prático de Prescrições,140,Neurologia > Ataque Isquêmico Transitório,"pontos
Distúrbio de fala sem
fraqueza",Baixa,Não usar sem validação,pdf-neurologia-ataque-isquemico-transitorio-pontos-pontos-disturbio-de-fala-sem-fraqueza
Ataque Isquêmico Transitório — ponto,Neurologia,Ataque Isquêmico Transitório,,Não especificado,Conduta,ponto,,,,,,,"ponto
D. Duração dos
Sintomas (Duration)
≥ 60 minutos","Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Item numerado 1. Cabeçalho próximo: ≥ 60 anos | Revisão automática: item exige validação clínica/protocolo local antes de uso.,,PDF Guia Prático de Prescrições,140,Neurologia > Ataque Isquêmico Transitório,"ponto
D. Duração dos
Sintomas (Duration)
≥ 60 minutos",Baixa,Não usar sem validação,pdf-neurologia-ataque-isquemico-transitorio-ponto-ponto-d-duracao-dos-sintomas-duration-60-minutos
Ataque Isquêmico Transitório — pontos,Neurologia,Ataque Isquêmico Transitório,,Não especificado,Conduta,pontos,,,,,,,pontos,"Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Item numerado 2. Cabeçalho próximo: ≥ 60 anos | Revisão automática: item exige validação clínica/protocolo local antes de uso.,,PDF Guia Prático de Prescrições,140,Neurologia > Ataque Isquêmico Transitório,pontos,Baixa,Não usar sem validação,pdf-neurologia-ataque-isquemico-transitorio-pontos-pontos
Ataque Isquêmico Transitório — a 59 minutos,Neurologia,Ataque Isquêmico Transitório,,Não especificado,Conduta,a 59 minutos,,,,,,,a 59 minutos,"Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Item numerado 10. Cabeçalho próximo: ≥ 60 anos | Revisão automática: item exige validação clínica/protocolo local antes de uso.,,PDF Guia Prático de Prescrições,140,Neurologia > Ataque Isquêmico Transitório,a 59 minutos,Baixa,Não usar sem validação,pdf-neurologia-ataque-isquemico-transitorio-a-59-minutos-a-59-minutos
Ataque Isquêmico Transitório — ponto,Neurologia,Ataque Isquêmico Transitório,,Não especificado,Conduta,ponto,,,,,,,"ponto
<10 minutos","Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Item numerado 1. Cabeçalho próximo: ≥ 60 anos | Revisão automática: item exige validação clínica/protocolo local antes de uso.,,PDF Guia Prático de Prescrições,140,Neurologia > Ataque Isquêmico Transitório,"ponto
<10 minutos",Baixa,Não usar sem validação,pdf-neurologia-ataque-isquemico-transitorio-ponto-ponto-10-minutos
Ataque Isquêmico Transitório — ponto,Neurologia,Ataque Isquêmico Transitório,,Não especificado,Conduta,ponto,,,,,,,"ponto
D². Diabetes (Diabetes)
História de diabetes","Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Item numerado 0. Cabeçalho próximo: ≥ 60 anos | Revisão automática: item exige validação clínica/protocolo local antes de uso.,,PDF Guia Prático de Prescrições,140,Neurologia > Ataque Isquêmico Transitório,"ponto
D². Diabetes (Diabetes)
História de diabetes",Baixa,Não usar sem validação,pdf-neurologia-ataque-isquemico-transitorio-ponto-ponto-d2-diabetes-diabetes-historia-de-diabetes
Ataque Isquêmico Transitório — ponto,Neurologia,Ataque Isquêmico Transitório,,Não especificado,Conduta,ponto,,,,,,,"ponto
Pontuação Total
Risco
Chance de AVC em 2
dias","Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Item numerado 1. Cabeçalho próximo: ≥ 60 anos | Revisão automática: item exige validação clínica/protocolo local antes de uso.,,PDF Guia Prático de Prescrições,140,Neurologia > Ataque Isquêmico Transitório,"ponto
Pontuação Total
Risco
Chance de AVC em 2
dias",Baixa,Não usar sem validação,pdf-neurologia-ataque-isquemico-transitorio-ponto-ponto-pontuacao-total-risco-chance-de-avc-em-2-dias
Ataque Isquêmico Transitório — 3 pontos,Neurologia,Ataque Isquêmico Transitório,,Não especificado,Conduta,3 pontos,,,,,,,"-3 pontos
Baixo","Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Item numerado 0. Cabeçalho próximo: ≥ 60 anos | Revisão automática: item exige validação clínica/protocolo local antes de uso.,,PDF Guia Prático de Prescrições,140,Neurologia > Ataque Isquêmico Transitório,"-3 pontos
Baixo",Baixa,Não usar sem validação,pdf-neurologia-ataque-isquemico-transitorio-3-pontos-3-pontos-baixo
"Ataque Isquêmico Transitório — ,0%",Neurologia,Ataque Isquêmico Transitório,,Não especificado,Conduta,",0%",0%,,,,,,",0%","Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Item numerado 1. Cabeçalho próximo: ≥ 60 anos | Revisão automática: item exige validação clínica/protocolo local antes de uso.,,PDF Guia Prático de Prescrições,140,Neurologia > Ataque Isquêmico Transitório,",0%",Baixa,Não usar sem validação,pdf-neurologia-ataque-isquemico-transitorio-0-0
Ataque Isquêmico Transitório — 5 pontos,Neurologia,Ataque Isquêmico Transitório,,Não especificado,Conduta,5 pontos,,,,,,,"-5 pontos
Moderado","Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Item numerado 4. Cabeçalho próximo: ≥ 60 anos | Revisão automática: item exige validação clínica/protocolo local antes de uso.,,PDF Guia Prático de Prescrições,140,Neurologia > Ataque Isquêmico Transitório,"-5 pontos
Moderado",Baixa,Não usar sem validação,pdf-neurologia-ataque-isquemico-transitorio-5-pontos-5-pontos-moderado
"Ataque Isquêmico Transitório — ,1%",Neurologia,Ataque Isquêmico Transitório,,Não especificado,Conduta,",1%",1%,,,,,,",1%","Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Item numerado 4. Cabeçalho próximo: ≥ 60 anos | Revisão automática: item exige validação clínica/protocolo local antes de uso.,,PDF Guia Prático de Prescrições,140,Neurologia > Ataque Isquêmico Transitório,",1%",Baixa,Não usar sem validação,pdf-neurologia-ataque-isquemico-transitorio-1-1
Ataque Isquêmico Transitório — 7 pontos,Neurologia,Ataque Isquêmico Transitório,,Não especificado,Conduta,7 pontos,,,,,,,"-7 pontos
Alto","Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Item numerado 6. Cabeçalho próximo: ≥ 60 anos | Revisão automática: item exige validação clínica/protocolo local antes de uso.,,PDF Guia Prático de Prescrições,140,Neurologia > Ataque Isquêmico Transitório,"-7 pontos
Alto",Baixa,Não usar sem validação,pdf-neurologia-ataque-isquemico-transitorio-7-pontos-7-pontos-alto
"Ataque Isquêmico Transitório — ,1%",Neurologia,Ataque Isquêmico Transitório,,Não especificado,Conduta,",1%",1%,,,,,,",1%
Score ABCD2","Usar conforme avaliação clínica, orientar adesão, efeitos adversos relevantes e critérios de retorno.","Piora clínica, sinais sistêmicos, alergia/reações adversas, gestação, imunossupressão ou ausência de melhora no tempo esperado.","Checar alergias, gestação/lactação, idade, função renal/hepática, interações, contraindicações e protocolo local antes de prescrever.",Item numerado 8. Cabeçalho próximo: ≥ 60 anos | Revisão automática: item exige validação clínica/protocolo local antes de uso.,,PDF Guia Prático de Prescrições,140,Neurologia > Ataque Isquêmico Transitório,",1%
Score ABCD2",Baixa,Não usar sem validação,pdf-neurologia-ataque-isquemico-transitorio-1-1-score-abcd2
